date,datetime,tickersymbol,price,close,best-bid,best-ask,spread
2025-11-03,2025-11-03 13:38:00.000000,VN30F1M,1895.2,1895.2,1895.1000000000001,1895.3,0.1999999999998181
2025-11-03,2025-11-03 13:39:00.000000,VN30F1M,1893.0,1893.0,1892.9,1893.1,0.1999999999998181
2025-11-03,2025-11-03 13:40:00.000000,VN30F1M,1893.7,1893.7,1893.6000000000001,1893.8,0.1999999999998181
2025-11-03,2025-11-03 13:41:00.000000,VN30F1M,1890.8,1890.8,1890.7,1890.8999999999999,0.1999999999998181
2025-11-03,2025-11-03 13:42:00.000000,VN30F1M,1891.3,1891.3,1891.2,1891.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 13:43:00.000000,VN30F1M,1892.3,1892.3,1892.2,1892.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 13:44:00.000000,VN30F1M,1894.3,1894.3,1894.2,1894.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 13:45:00.000000,VN30F1M,1892.2,1892.2,1892.1000000000001,1892.3,0.1999999999998181
2025-11-03,2025-11-03 13:46:00.000000,VN30F1M,1892.0,1892.0,1891.9,1892.1,0.1999999999998181
2025-11-03,2025-11-03 13:47:00.000000,VN30F1M,1890.0,1890.0,1889.9,1890.1,0.1999999999998181
2025-11-03,2025-11-03 13:48:00.000000,VN30F1M,1888.0,1888.0,1887.9,1888.1,0.1999999999998181
2025-11-03,2025-11-03 13:49:00.000000,VN30F1M,1887.9,1887.9,1887.8000000000002,1888.0,0.1999999999998181
2025-11-03,2025-11-03 13:50:00.000000,VN30F1M,1890.6,1890.6,1890.5,1890.6999999999998,0.1999999999998181
2025-11-03,2025-11-03 13:51:00.000000,VN30F1M,1889.5,1889.5,1889.4,1889.6,0.1999999999998181
2025-11-03,2025-11-03 13:52:00.000000,VN30F1M,1893.2,1893.2,1893.1000000000001,1893.3,0.1999999999998181
2025-11-03,2025-11-03 13:53:00.000000,VN30F1M,1894.1,1894.1,1894.0,1894.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 13:54:00.000000,VN30F1M,1893.6,1893.6,1893.5,1893.6999999999998,0.1999999999998181
2025-11-03,2025-11-03 13:55:00.000000,VN30F1M,1895.0,1895.0,1894.9,1895.1,0.1999999999998181
2025-11-03,2025-11-03 13:56:00.000000,VN30F1M,1893.8,1893.8,1893.7,1893.8999999999999,0.1999999999998181
2025-11-03,2025-11-03 13:57:00.000000,VN30F1M,1892.3,1892.3,1892.2,1892.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 13:58:00.000000,VN30F1M,1891.1,1891.1,1891.0,1891.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 13:59:00.000000,VN30F1M,1888.9,1888.9,1888.8000000000002,1889.0,0.1999999999998181
2025-11-03,2025-11-03 14:00:00.000000,VN30F1M,1884.0,1884.0,1883.9,1884.1,0.1999999999998181
2025-11-03,2025-11-03 14:01:00.000000,VN30F1M,1885.0,1885.0,1884.9,1885.1,0.1999999999998181
2025-11-03,2025-11-03 14:02:00.000000,VN30F1M,1883.4,1883.4,1883.3000000000002,1883.5,0.1999999999998181
2025-11-03,2025-11-03 14:03:00.000000,VN30F1M,1885.8,1885.8,1885.7,1885.8999999999999,0.1999999999998181
2025-11-03,2025-11-03 14:04:00.000000,VN30F1M,1898.7,1898.7,1898.6000000000001,1898.8,0.1999999999998181
2025-11-03,2025-11-03 14:05:00.000000,VN30F1M,1899.7,1899.7,1899.6000000000001,1899.8,0.1999999999998181
2025-11-03,2025-11-03 14:06:00.000000,VN30F1M,1896.9,1896.9,1896.8000000000002,1897.0,0.1999999999998181
2025-11-03,2025-11-03 14:07:00.000000,VN30F1M,1895.2,1895.2,1895.1000000000001,1895.3,0.1999999999998181
2025-11-03,2025-11-03 14:08:00.000000,VN30F1M,1893.4,1893.4,1893.3000000000002,1893.5,0.1999999999998181
2025-11-03,2025-11-03 14:09:00.000000,VN30F1M,1895.4,1895.4,1895.3000000000002,1895.5,0.1999999999998181
2025-11-03,2025-11-03 14:10:00.000000,VN30F1M,1884.1,1884.1,1884.0,1884.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 14:11:00.000000,VN30F1M,1879.7,1879.7,1879.6000000000001,1879.8,0.1999999999998181
2025-11-03,2025-11-03 14:12:00.000000,VN30F1M,1879.0,1879.0,1878.9,1879.1,0.1999999999998181
2025-11-03,2025-11-03 14:13:00.000000,VN30F1M,1877.0,1877.0,1876.9,1877.1,0.1999999999998181
2025-11-03,2025-11-03 14:14:00.000000,VN30F1M,1874.9,1874.9,1874.8000000000002,1875.0,0.1999999999998181
2025-11-03,2025-11-03 14:15:00.000000,VN30F1M,1879.6,1879.6,1879.5,1879.6999999999998,0.1999999999998181
2025-11-03,2025-11-03 14:16:00.000000,VN30F1M,1877.3,1877.3,1877.2,1877.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 14:17:00.000000,VN30F1M,1881.1,1881.1,1881.0,1881.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 14:18:00.000000,VN30F1M,1884.0,1884.0,1883.9,1884.1,0.1999999999998181
2025-11-03,2025-11-03 14:19:00.000000,VN30F1M,1887.5,1887.5,1887.4,1887.6,0.1999999999998181
2025-11-03,2025-11-03 14:20:00.000000,VN30F1M,1887.3,1887.3,1887.2,1887.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 14:21:00.000000,VN30F1M,1894.3,1894.3,1894.2,1894.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 14:22:00.000000,VN30F1M,1892.0,1892.0,1891.9,1892.1,0.1999999999998181
2025-11-03,2025-11-03 14:23:00.000000,VN30F1M,1889.8,1889.8,1889.7,1889.8999999999999,0.1999999999998181
2025-11-03,2025-11-03 14:24:00.000000,VN30F1M,1887.3,1887.3,1887.2,1887.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 14:25:00.000000,VN30F1M,1880.3,1880.3,1880.2,1880.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 14:26:00.000000,VN30F1M,1879.8,1879.8,1879.7,1879.8999999999999,0.1999999999998181
2025-11-03,2025-11-03 14:27:00.000000,VN30F1M,1870.0,1870.0,1869.9,1870.1,0.1999999999998181
2025-11-03,2025-11-03 14:28:00.000000,VN30F1M,1867.1,1867.1,1867.0,1867.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 14:29:00.000000,VN30F1M,1862.0,1862.0,1861.9,1862.1,0.1999999999998181
